Animal_ID,Species,Breed,Age (yrs),Gender,Size,Health Status,Shelter Stay (days),Adoption Status,Vaccinated,Behavior Score (1–10),
ANI1019,Dog,Golden Retriever,3.2,Male,Medium,Healthy,26,Adopted,Yes,3.8,
ANI1020,Cat,Persian,14.9,Female,Small,Healthy,80,Adopted,Yes,3.8,
ANI1021,Dog,Beagle,2.9,Male,Small,Healthy,65,Adopted,Yes,2.4,
ANI1022,Dog,Bulldog,3.3,Male,Medium,Healthy,100,Adopted,Yes,3.4,
ANI1023,Dog,Rottweiler,2,Female,Medium,Minor Injury,74,Not Adopted,No,4.8,
ANI1024,Dog,Poodle,8.7,Male,Small,Healthy,171,Not Adopted,Yes,7.6,
ANI1025,Cat,British Shorthair,1.7,Female,Large,Healthy,17,Adopted,Yes,4,
ANI1026,Dog,Golden Retriever,4.3,Male,Small,Healthy,121,Adopted,Yes,4,
ANI1027,Dog,Golden Retriever,3.7,Male,Large,Minor Injury,23,Not Adopted,Yes,3.6,
ANI1028,Cat,Siamese,10.2,Female,Medium,Minor Injury,135,Adopted,No,5.3,
ANI1029,Dog,Rottweiler,8.9,Male,Large,Healthy,172,Not Adopted,Yes,2.6,
ANI1030,Cat,Persian,9.8,Female,Medium,Minor Injury,71,Not Adopted,Yes,5.4,
ANI1031,Dog,Golden Retriever,11.2,Male,Large,Healthy,108,Adopted,Yes,7.3,
ANI1032,Dog,Golden Retriever,11.4,Male,Large,Healthy,79,Adopted,Yes,1.3,
ANI1033,Cat,Ragdoll,6.8,Male,Small,Healthy,162,Adopted,Yes,1.1,
ANI1034,Other,Guinea Pig,7.9,Female,Large,Healthy,46,Adopted,Yes,1.7,
ANI1035,Cat,Siamese,13.4,Male,Medium,Healthy,78,Not Adopted,Yes,5.8,
ANI1036,Dog,Beagle,10.8,Female,Medium,Chronic Illness,16,Adopted,Yes,8.7,
ANI1037,Dog,German Shepherd,5.7,Male,Medium,Healthy,71,Adopted,No,1,
ANI1038,Cat,Siamese,9.8,Female,Medium,Healthy,96,Adopted,No,9.4,
ANI1039,Dog,Poodle,5.3,Male,Small,Healthy,147,Not Adopted,Yes,2,
ANI1040,Dog,Rottweiler,10.3,Female,Medium,Healthy,2,Adopted,Yes,8.6,
ANI1041,Dog,Rottweiler,3.1,Female,Medium,Chronic Illness,10,Not Adopted,Yes,5.3,
ANI1042,Dog,Rottweiler,3.3,Female,Medium,Healthy,178,Not Adopted,Yes,6.9,
ANI1043,Cat,Sphynx,7,Female,Large,Healthy,125,Not Adopted,No,5.6,
ANI1044,Dog,Poodle,3.1,Female,Medium,Minor Injury,81,Adopted,Yes,5.3,
ANI1045,Cat,Persian,10.3,Female,Medium,Healthy,140,Adopted,Yes,8.5,
ANI1046,Dog,Bulldog,2,Male,Small,Healthy,70,Adopted,Yes,7.8,
ANI1047,Dog,Bulldog,4.2,Male,Small,Healthy,150,Adopted,Yes,5.4,
ANI1048,Dog,Labrador Retriever,11,Female,Small,Healthy,32,Adopted,No,2,
ANI1049,Dog,Rottweiler,5.2,Female,Medium,Chronic Illness,105,Not Adopted,No,2,
ANI1050,Other,Turtle,7.6,Female,Small,Minor Injury,84,Adopted,Yes,8.2,
ANI1051,Cat,Sphynx,2.5,Male,Large,Healthy,129,Not Adopted,Yes,5.8,
ANI1052,Cat,Ragdoll,4.8,Male,Medium,Minor Injury,58,Adopted,No,5.3,
ANI1053,Cat,Bengal,14.6,Male,Medium,Healthy,146,Adopted,No,7.1,
ANI1054,Cat,Sphynx,13.9,Female,Medium,Healthy,134,Adopted,Yes,8.7,
ANI1055,Cat,Ragdoll,7.3,Male,Small,Healthy,45,Adopted,Yes,6.7,
ANI1056,Dog,Beagle,11.5,Male,Medium,Healthy,97,Not Adopted,Yes,7.9,
ANI1057,Dog,Labrador Retriever,11,Male,Medium,Healthy,23,Adopted,Yes,7.9,
ANI1058,Dog,German Shepherd,11.6,Male,Medium,Healthy,23,Not Adopted,No,4.2,
ANI1059,Dog,Labrador Retriever,5.4,Female,Medium,Chronic Illness,154,Not Adopted,Yes,3.5,
ANI1060,Dog,Bulldog,2.8,Male,Large,Healthy,135,Adopted,No,8.2,
ANI1061,Dog,Poodle,7.7,Female,Large,Healthy,79,Adopted,Yes,4.4,
ANI1062,Cat,Sphynx,12.5,Male,Medium,Healthy,44,Adopted,Yes,9.1,
ANI1063,Dog,Bulldog,1.9,Male,Medium,Healthy,27,Adopted,Yes,1.6,
ANI1064,Dog,Bulldog,9.5,Male,Medium,Healthy,26,Adopted,Yes,1.5,
ANI1065,Dog,German Shepherd,0.7,Male,Small,Healthy,97,Adopted,Yes,9.3,
ANI1066,Dog,Rottweiler,6.1,Male,Medium,Minor Injury,36,Adopted,Yes,6.8,
ANI1067,Cat,Bengal,6.3,Male,Small,Healthy,109,Adopted,Yes,4.4,
ANI1068,Dog,German Shepherd,9,Female,Medium,Healthy,55,Not Adopted,Yes,7.8,
ANI1069,Other,Guinea Pig,3.5,Male,Medium,Healthy,69,Adopted,Yes,7.1,
ANI1070,Cat,Ragdoll,15,Female,Small,Healthy,61,Not Adopted,Yes,5.8,
ANI1071,Dog,Beagle,7.3,Female,Large,Healthy,130,Adopted,Yes,1.9,
ANI1072,Dog,Rottweiler,9.6,Female,Large,Minor Injury,55,Not Adopted,Yes,8.3,
ANI1073,Cat,Siamese,17.8,Male,Medium,Healthy,122,Not Adopted,Yes,8.8,
ANI1074,Cat,Persian,12.4,Male,Medium,Healthy,97,Not Adopted,Yes,2.5,
ANI1075,Cat,Ragdoll,17.7,Male,Large,Healthy,80,Adopted,Yes,8.7,
ANI1076,Cat,British Shorthair,1,Male,Small,Healthy,87,Adopted,Yes,8.9,
ANI1077,Dog,Beagle,4.4,Female,Medium,Healthy,38,Not Adopted,Yes,5.9,
ANI1078,Dog,Labrador Retriever,1.7,Male,Small,Minor Injury,119,Not Adopted,Yes,6.9,
ANI1079,Dog,Poodle,3.5,Male,Medium,Healthy,78,Not Adopted,Yes,4.4,
ANI1080,Cat,Ragdoll,15.2,Female,Small,Minor Injury,157,Not Adopted,Yes,3.5,
ANI1081,Cat,Sphynx,1.1,Female,Large,Healthy,154,Adopted,Yes,7.5,
ANI1082,Dog,Beagle,6.5,Female,Large,Minor Injury,35,Not Adopted,Yes,8.8,
ANI1083,Dog,Golden Retriever,7,Male,Small,Healthy,79,Adopted,Yes,6.9,
ANI1084,Dog,Bulldog,7,Male,Medium,Healthy,67,Adopted,Yes,5.6,
ANI1085,Dog,Bulldog,6,Female,Large,Healthy,87,Adopted,Yes,2.4,
ANI1086,Cat,Persian,14.3,Male,Medium,Chronic Illness,157,Not Adopted,Yes,1.5,
ANI1087,Cat,Bengal,2.8,Male,Large,Healthy,34,Adopted,Yes,5,
ANI1088,Cat,Persian,5.9,Male,Medium,Healthy,97,Adopted,Yes,1.4,
ANI1089,Dog,Rottweiler,7.6,Male,Medium,Healthy,169,Adopted,Yes,6.1,
ANI1090,Dog,Poodle,8.4,Male,Small,Minor Injury,169,Not Adopted,Yes,4.4,
ANI1091,Cat,Maine Coon,7.6,Male,Small,Healthy,151,Adopted,Yes,7.8,
ANI1092,Cat,Maine Coon,15.8,Female,Medium,Minor Injury,71,Adopted,Yes,3.8,
ANI1093,Cat,Ragdoll,7.8,Female,Medium,Healthy,3,Adopted,Yes,6.3,
ANI1094,Cat,Sphynx,7.5,Female,Medium,Healthy,58,Adopted,Yes,5.8,
ANI1095,Dog,German Shepherd,0.9,Male,Medium,Healthy,32,Not Adopted,Yes,1,
ANI1096,Dog,German Shepherd,6.8,Male,Medium,Chronic Illness,31,Not Adopted,Yes,1.7,
ANI1097,Dog,Bulldog,8.6,Male,Large,Healthy,82,Adopted,Yes,3.6,
ANI1098,Dog,Beagle,1.8,Female,Large,Chronic Illness,43,Not Adopted,Yes,8.9,
ANI1099,Dog,Labrador Retriever,4,Female,Medium,Healthy,135,Adopted,Yes,2.3,
ANI1100,Dog,Rottweiler,9.5,Male,Large,Healthy,105,Adopted,Yes,7.4,
ANI1101,Cat,Maine Coon,6.9,Female,Medium,Healthy,1,Adopted,Yes,9.8,
ANI1102,Dog,Bulldog,3.3,Male,Medium,Healthy,61,Adopted,Yes,8.1,
ANI1103,Dog,Poodle,8.2,Female,Large,Minor Injury,14,Not Adopted,No,3.2,
ANI1104,Cat,Sphynx,3.9,Female,Small,Chronic Illness,6,Adopted,Yes,9.2,
ANI1105,Dog,Golden Retriever,10.8,Female,Small,Minor Injury,103,Not Adopted,Yes,1.8,
ANI1106,Dog,Labrador Retriever,1.7,Female,Large,Minor Injury,10,Adopted,No,5.2,
ANI1107,Cat,Persian,12.9,Female,Medium,Healthy,71,Adopted,Yes,9,
ANI1108,Dog,German Shepherd,6.2,Male,Large,Healthy,90,Adopted,Yes,6.8,
ANI1109,Dog,Bulldog,10.5,Female,Large,Chronic Illness,158,Adopted,Yes,4.7,
ANI1110,Dog,Poodle,2,Male,Small,Healthy,149,Adopted,Yes,3.6,
ANI1111,Dog,Golden Retriever,8.3,Female,Large,Minor Injury,126,Not Adopted,Yes,4.4,
ANI1112,Cat,British Shorthair,10.5,Female,Medium,Minor Injury,97,Not Adopted,Yes,5.6,
ANI1113,Cat,Persian,8.9,Female,Medium,Healthy,74,Not Adopted,Yes,3.9,
ANI1114,Cat,Maine Coon,9.1,Male,Medium,Chronic Illness,115,Adopted,Yes,9.7,
ANI1115,Cat,Ragdoll,13.1,Female,Large,Healthy,170,Not Adopted,No,9.4,
ANI1116,Cat,Maine Coon,16.9,Female,Small,Healthy,51,Adopted,No,8.8,
ANI1117,Dog,Bulldog,1.5,Female,Medium,Healthy,56,Not Adopted,Yes,4.8,
ANI1118,Cat,Siamese,0.8,Male,Medium,Healthy,41,Adopted,Yes,7.2,
ANI1119,Dog,Golden Retriever,9.8,Male,Medium,Healthy,32,Adopted,Yes,9.1,
ANI1120,Cat,Sphynx,2.4,Male,Medium,Healthy,15,Not Adopted,No,8.7,
ANI1121,Cat,Siamese,17.8,Male,Small,Minor Injury,62,Adopted,Yes,4.7,
ANI1122,Dog,Poodle,7.6,Female,Small,Chronic Illness,155,Adopted,Yes,2,
ANI1123,Dog,German Shepherd,8,Male,Medium,Healthy,28,Adopted,Yes,1.7,
ANI1124,Dog,Golden Retriever,2.8,Female,Large,Healthy,64,Adopted,Yes,6.2,
ANI1125,Dog,Golden Retriever,3.3,Male,Small,Chronic Illness,130,Not Adopted,Yes,6.8,
ANI1126,Cat,Sphynx,12,Male,Small,Healthy,127,Adopted,Yes,8.6,
ANI1127,Cat,Persian,16.4,Female,Large,Healthy,36,Adopted,Yes,3.6,
ANI1128,Dog,Beagle,11.8,Female,Small,Healthy,114,Not Adopted,Yes,2.5,
ANI1129,Dog,Golden Retriever,2.8,Male,Large,Healthy,13,Adopted,Yes,4.4,
ANI1130,Dog,Rottweiler,2,Female,Medium,Healthy,15,Adopted,Yes,4.2,
ANI1131,Dog,German Shepherd,1.1,Female,Large,Chronic Illness,89,Not Adopted,No,2.2,
ANI1132,Dog,Beagle,10.5,Male,Small,Healthy,22,Adopted,No,7.1,
ANI1133,Dog,Beagle,3.9,Female,Small,Healthy,74,Adopted,No,5.6,
ANI1134,Cat,British Shorthair,0.5,Female,Medium,Healthy,25,Adopted,No,7.5,
ANI1135,Dog,Rottweiler,3.1,Female,Large,Healthy,101,Adopted,Yes,4.2,
ANI1136,Dog,Rottweiler,4.4,Male,Medium,Healthy,176,Adopted,Yes,3.9,
ANI1137,Cat,Persian,17.8,Female,Small,Minor Injury,171,Adopted,Yes,5.3,
ANI1138,Dog,Golden Retriever,6.5,Male,Medium,Minor Injury,117,Adopted,No,8.9,
ANI1139,Other,Parrot,2.4,Male,Medium,Healthy,166,Not Adopted,Yes,1.4,
ANI1140,Other,Guinea Pig,3.7,Male,Medium,Chronic Illness,41,Not Adopted,Yes,8.2,
ANI1141,Dog,Labrador Retriever,4.3,Male,Medium,Minor Injury,173,Not Adopted,Yes,4.3,
ANI1142,Dog,Poodle,0.7,Female,Large,Minor Injury,88,Not Adopted,Yes,8.7,
ANI1143,Dog,Poodle,2.1,Female,Medium,Healthy,168,Adopted,Yes,8.2,
ANI1144,Dog,Poodle,8.5,Female,Small,Healthy,110,Adopted,Yes,4.1,
ANI1145,Dog,Bulldog,1.9,Male,Medium,Healthy,120,Adopted,Yes,7.2,
ANI1146,Cat,Ragdoll,4.5,Male,Small,Healthy,97,Not Adopted,Yes,2.4,
ANI1147,Dog,Beagle,4.5,Male,Medium,Healthy,145,Adopted,Yes,9.1,
ANI1148,Dog,German Shepherd,9.2,Female,Medium,Healthy,57,Not Adopted,Yes,4.6,
ANI1149,Dog,Beagle,7.2,Male,Small,Minor Injury,130,Adopted,No,5.1,
ANI1150,Cat,Sphynx,12.6,Female,Medium,Minor Injury,96,Not Adopted,Yes,7.4,
ANI1151,Dog,Golden Retriever,7,Female,Small,Chronic Illness,121,Adopted,Yes,8.4,
ANI1152,Dog,Bulldog,8.4,Male,Large,Healthy,62,Adopted,Yes,3.1,
ANI1153,Dog,Poodle,0.5,Female,Large,Healthy,137,Adopted,Yes,7,
ANI1154,Other,Parrot,9.3,Male,Small,Healthy,68,Adopted,Yes,4.5,
ANI1155,Dog,Labrador Retriever,1.8,Female,Large,Healthy,81,Adopted,Yes,4.3,
ANI1156,Cat,Persian,7.6,Female,Medium,Healthy,17,Adopted,Yes,7.2,
ANI1157,Cat,Maine Coon,14,Male,Small,Healthy,117,Adopted,Yes,4.5,
ANI1158,Dog,German Shepherd,5.5,Male,Small,Healthy,50,Adopted,Yes,4.1,
ANI1159,Cat,Maine Coon,17.1,Female,Medium,Minor Injury,112,Adopted,Yes,8.5,
ANI1160,Dog,Golden Retriever,5.9,Female,Medium,Healthy,94,Adopted,Yes,1.9,
ANI1161,Cat,Bengal,15.8,Male,Medium,Minor Injury,168,Adopted,Yes,7.1,
ANI1162,Cat,Persian,14.7,Female,Small,Healthy,85,Adopted,Yes,3.2,
ANI1163,Dog,Labrador Retriever,11.8,Female,Small,Healthy,149,Not Adopted,No,1.1,
ANI1164,Dog,Poodle,11.2,Female,Medium,Healthy,146,Adopted,Yes,2.5,
ANI1165,Cat,Sphynx,16.2,Male,Small,Healthy,157,Not Adopted,Yes,6.5,
ANI1166,Dog,Golden Retriever,8.9,Female,Small,Healthy,152,Adopted,Yes,7.4,
ANI1167,Dog,Golden Retriever,4.7,Female,Small,Healthy,74,Adopted,Yes,1.2,
ANI1168,Dog,German Shepherd,1.7,Male,Large,Healthy,109,Not Adopted,Yes,1.3,
ANI1169,Cat,British Shorthair,12.6,Male,Large,Healthy,145,Adopted,Yes,9.1,
ANI1170,Cat,British Shorthair,17.6,Female,Medium,Healthy,18,Adopted,Yes,1.7,
ANI1171,Dog,Labrador Retriever,8.9,Male,Large,Chronic Illness,42,Not Adopted,Yes,9,
ANI1172,Dog,German Shepherd,11.2,Female,Medium,Healthy,101,Adopted,Yes,3.1,
ANI1173,Dog,Bulldog,9.7,Male,Medium,Minor Injury,45,Not Adopted,Yes,7.7,
ANI1174,Cat,Ragdoll,3.4,Male,Small,Healthy,82,Not Adopted,Yes,3.8,
ANI1175,Dog,German Shepherd,3.4,Female,Medium,Chronic Illness,17,Adopted,Yes,8.7,
ANI1176,Cat,Persian,6.5,Male,Large,Minor Injury,73,Not Adopted,No,7.3,
ANI1177,Dog,Bulldog,2.4,Female,Medium,Healthy,14,Adopted,Yes,4.6,
ANI1178,Cat,Maine Coon,10.7,Male,Medium,Healthy,177,Not Adopted,Yes,1.7,
ANI1179,Dog,Bulldog,11.7,Female,Medium,Minor Injury,157,Adopted,Yes,7.6,
ANI1180,Dog,Beagle,9.3,Male,Small,Healthy,132,Adopted,Yes,6.6,
ANI1181,Dog,German Shepherd,5.4,Male,Large,Healthy,82,Adopted,Yes,1,
ANI1182,Cat,Persian,0.6,Female,Medium,Healthy,148,Adopted,Yes,1.1,
ANI1183,Cat,Siamese,6,Male,Medium,Minor Injury,120,Not Adopted,Yes,8.3,
ANI1184,Dog,Golden Retriever,6.6,Female,Medium,Minor Injury,120,Not Adopted,Yes,3.3,
ANI1185,Cat,British Shorthair,6.2,Male,Medium,Healthy,47,Adopted,No,6.7,
ANI1186,Cat,Maine Coon,2.4,Female,Small,Healthy,107,Adopted,Yes,5.1,
ANI1187,Cat,Persian,8.2,Male,Medium,Healthy,108,Adopted,Yes,8.8,
ANI1188,Dog,Beagle,3.4,Female,Small,Healthy,9,Adopted,No,9.3,
ANI1189,Dog,Poodle,11,Male,Medium,Chronic Illness,79,Adopted,Yes,10,
ANI1190,Dog,Bulldog,1.7,Male,Large,Healthy,155,Not Adopted,Yes,2.4,
ANI1191,Cat,Bengal,1.4,Male,Large,Healthy,15,Adopted,Yes,8.8,
ANI1192,Cat,Maine Coon,0.6,Male,Medium,Healthy,19,Not Adopted,No,3.4,
ANI1193,Cat,Siamese,6.2,Female,Medium,Minor Injury,90,Not Adopted,Yes,6.3,
ANI1194,Dog,Rottweiler,8.1,Male,Small,Healthy,26,Not Adopted,Yes,5.6,
ANI1195,Dog,German Shepherd,8.9,Female,Medium,Healthy,154,Adopted,Yes,1.2,
ANI1196,Cat,Sphynx,8.4,Male,Small,Healthy,154,Not Adopted,Yes,9.4,
ANI1197,Cat,Ragdoll,12.5,Male,Medium,Healthy,174,Adopted,Yes,1.7,
ANI1198,Cat,Siamese,6.8,Female,Small,Healthy,92,Adopted,Yes,7.2,
ANI1199,Cat,Bengal,12.2,Female,Small,Healthy,177,Adopted,Yes,8.1,
ANI1200,Cat,British Shorthair,1.2,Male,Medium,Healthy,82,Not Adopted,Yes,8.2,
ANI1201,Dog,German Shepherd,5,Male,Small,Chronic Illness,131,Not Adopted,Yes,2.2,
ANI1202,Dog,Rottweiler,9.6,Male,Medium,Minor Injury,42,Adopted,No,5,
ANI1203,Cat,Ragdoll,14.6,Female,Medium,Chronic Illness,19,Adopted,No,8.5,
ANI1204,Cat,Bengal,13,Female,Small,Healthy,17,Not Adopted,Yes,3.7,
ANI1205,Dog,Rottweiler,2.8,Male,Medium,Chronic Illness,161,Not Adopted,Yes,5.2,
ANI1206,Dog,German Shepherd,3.3,Female,Small,Healthy,76,Not Adopted,Yes,3.5,
ANI1207,Cat,Bengal,17.9,Female,Small,Healthy,177,Not Adopted,Yes,5.2,
ANI1208,Dog,Golden Retriever,1.7,Female,Medium,Healthy,63,Adopted,Yes,9,
ANI1209,Dog,Golden Retriever,2.6,Female,Small,Healthy,131,Adopted,Yes,5.1,
ANI1210,Dog,Beagle,2,Male,Large,Healthy,107,Not Adopted,No,6,
ANI1211,Cat,Maine Coon,6.2,Male,Small,Healthy,49,Adopted,Yes,4.6,
ANI1212,Cat,Siamese,4.2,Male,Small,Healthy,55,Adopted,Yes,5.1,
ANI1213,Dog,Poodle,6.2,Male,Medium,Healthy,154,Adopted,Yes,1.1,
ANI1214,Cat,Bengal,8.8,Female,Medium,Healthy,99,Adopted,Yes,3.6,
ANI1215,Dog,Rottweiler,10.9,Female,Small,Healthy,52,Adopted,Yes,4.9,
ANI1216,Dog,Labrador Retriever,0.9,Male,Medium,Healthy,100,Adopted,Yes,6.7,
ANI1217,Cat,Maine Coon,6.1,Male,Small,Minor Injury,117,Adopted,Yes,5.1,
ANI1218,Cat,Maine Coon,10.9,Male,Large,Minor Injury,118,Not Adopted,No,4,
ANI1219,Cat,Persian,11.1,Female,Medium,Healthy,7,Adopted,Yes,4.5,
ANI1220,Cat,British Shorthair,8.9,Male,Medium,Healthy,46,Adopted,No,3.2,
ANI1221,Cat,British Shorthair,14.8,Female,Large,Healthy,46,Adopted,Yes,9.3,
ANI1222,Dog,Labrador Retriever,1.2,Male,Medium,Minor Injury,100,Not Adopted,Yes,5.7,
ANI1223,Dog,Rottweiler,9.9,Male,Large,Healthy,144,Not Adopted,Yes,1.1,
ANI1224,Dog,German Shepherd,6.2,Female,Medium,Healthy,152,Not Adopted,Yes,1.2,
ANI1225,Dog,Rottweiler,2,Female,Large,Healthy,54,Adopted,Yes,9.8,
ANI1226,Other,Turtle,8.9,Male,Small,Healthy,62,Not Adopted,Yes,3,
ANI1227,Dog,Rottweiler,8,Female,Medium,Healthy,129,Adopted,Yes,8.3,
ANI1228,Cat,Maine Coon,3.4,Female,Medium,Minor Injury,49,Not Adopted,Yes,1.5,
ANI1229,Cat,Ragdoll,1.1,Female,Medium,Healthy,25,Adopted,Yes,9.3,
ANI1230,Cat,Siamese,3,Male,Medium,Healthy,10,Adopted,Yes,8.9,
ANI1231,Dog,German Shepherd,7.5,Female,Medium,Minor Injury,118,Not Adopted,Yes,6.1,
ANI1232,Cat,British Shorthair,3.6,Male,Small,Minor Injury,144,Not Adopted,Yes,1.1,
ANI1233,Dog,Poodle,3.1,Female,Small,Healthy,157,Not Adopted,Yes,3.3,
ANI1234,Dog,Poodle,0.8,Male,Medium,Healthy,92,Adopted,No,4.7,
ANI1235,Cat,Sphynx,13.2,Male,Medium,Healthy,134,Adopted,Yes,5.1,
ANI1236,Dog,Poodle,9.8,Male,Large,Chronic Illness,144,Not Adopted,Yes,3.7,
ANI1237,Dog,Rottweiler,9.7,Female,Medium,Healthy,148,Adopted,Yes,1.3,
ANI1238,Cat,British Shorthair,2.7,Male,Large,Chronic Illness,80,Adopted,Yes,6.3,
ANI1239,Dog,Labrador Retriever,10.9,Female,Medium,Healthy,71,Not Adopted,Yes,5.7,
ANI1240,Cat,Maine Coon,12.3,Female,Small,Healthy,78,Adopted,No,3.5,
ANI1241,Other,Rabbit,9,Male,Small,Healthy,43,Not Adopted,No,1.3,
ANI1242,Cat,Sphynx,8.3,Female,Medium,Healthy,154,Adopted,Yes,10,
ANI1243,Dog,Golden Retriever,5.5,Male,Medium,Healthy,90,Not Adopted,Yes,5.3,
ANI1244,Dog,Beagle,9.5,Female,Small,Healthy,78,Adopted,Yes,7.8,
ANI1245,Cat,Persian,2.1,Male,Medium,Healthy,161,Adopted,Yes,5.1,
ANI1246,Dog,Bulldog,6.5,Female,Large,Chronic Illness,26,Not Adopted,Yes,1.4,
ANI1247,Other,Parrot,8.4,Female,Medium,Healthy,121,Adopted,Yes,3.8,
ANI1248,Other,Hamster,8.4,Female,Medium,Minor Injury,45,Adopted,Yes,3.9,
ANI1249,Cat,Maine Coon,17.2,Female,Medium,Healthy,63,Adopted,Yes,8.5,
ANI1250,Dog,Golden Retriever,8.5,Male,Small,Healthy,68,Adopted,Yes,6.9,
ANI1251,Dog,Golden Retriever,2.9,Female,Medium,Healthy,154,Adopted,Yes,3.5,
ANI1252,Cat,Bengal,0.9,Female,Medium,Healthy,2,Adopted,No,9.7,
ANI1253,Dog,Rottweiler,6,Female,Small,Chronic Illness,142,Adopted,Yes,3.9,
ANI1254,Dog,Labrador Retriever,6.4,Male,Medium,Healthy,108,Adopted,No,10,
ANI1255,Cat,British Shorthair,4.7,Female,Medium,Healthy,30,Adopted,Yes,10,
ANI1256,Cat,Siamese,2.7,Female,Large,Healthy,49,Not Adopted,Yes,2.7,
ANI1257,Cat,Persian,10.8,Female,Large,Healthy,140,Adopted,No,3.8,
ANI1258,Cat,Sphynx,13.9,Male,Small,Healthy,44,Adopted,Yes,5.4,
ANI1259,Dog,Beagle,11.9,Female,Medium,Minor Injury,161,Not Adopted,Yes,7,
ANI1260,Cat,Sphynx,13.8,Male,Medium,Minor Injury,13,Not Adopted,Yes,5.8,
ANI1261,Other,Rabbit,8,Female,Large,Healthy,78,Adopted,Yes,9.7,
ANI1262,Dog,Poodle,7.6,Male,Small,Healthy,126,Adopted,Yes,7.5,
ANI1263,Dog,Bulldog,11.8,Female,Medium,Healthy,98,Adopted,No,2.9,
ANI1264,Cat,Ragdoll,11.7,Female,Medium,Healthy,26,Adopted,No,1.9,
ANI1265,Cat,British Shorthair,15.6,Male,Small,Healthy,149,Adopted,No,7.2,
ANI1266,Cat,Sphynx,17.1,Female,Small,Healthy,156,Not Adopted,Yes,2.4,
ANI1267,Cat,Bengal,16.8,Male,Medium,Healthy,48,Adopted,Yes,8.1,
ANI1268,Dog,Labrador Retriever,4.9,Female,Medium,Healthy,168,Not Adopted,Yes,3.8,
ANI1269,Dog,Beagle,1.4,Female,Medium,Healthy,66,Adopted,No,3.9,
ANI1270,Cat,Persian,3.5,Female,Medium,Healthy,87,Adopted,Yes,1.1,
ANI1271,Cat,Bengal,1.5,Female,Medium,Healthy,79,Adopted,Yes,7.3,
ANI1272,Cat,Persian,2.3,Female,Medium,Healthy,23,Not Adopted,Yes,2,
ANI1273,Cat,Persian,3.7,Male,Small,Minor Injury,81,Not Adopted,Yes,8,
ANI1274,Dog,German Shepherd,4.4,Male,Large,Healthy,48,Adopted,Yes,5.4,
ANI1275,Dog,Rottweiler,6.8,Female,Small,Healthy,124,Adopted,No,8.1,
ANI1276,Cat,Ragdoll,13,Female,Medium,Healthy,130,Adopted,No,6.3,
ANI1277,Cat,Ragdoll,4.2,Female,Small,Minor Injury,84,Not Adopted,Yes,1.7,
ANI1278,Cat,Ragdoll,12.3,Female,Small,Healthy,20,Adopted,Yes,7.9,
ANI1279,Cat,Maine Coon,12.8,Male,Medium,Healthy,46,Adopted,No,1.6,
ANI1280,Cat,Siamese,10.3,Female,Small,Healthy,131,Not Adopted,Yes,5.3,
ANI1281,Dog,Beagle,10.9,Male,Large,Minor Injury,12,Not Adopted,Yes,2.6,
ANI1282,Dog,Beagle,1.8,Female,Small,Chronic Illness,40,Not Adopted,Yes,7.8,
ANI1283,Dog,Beagle,2.5,Male,Medium,Healthy,66,Adopted,Yes,9.2,
ANI1284,Cat,Ragdoll,8,Male,Medium,Minor Injury,100,Not Adopted,Yes,6,
ANI1285,Dog,Rottweiler,2,Male,Small,Chronic Illness,78,Adopted,Yes,5.7,
